239,280,73,197
237,275,74,205
231,269,96,210
232,270,104,208
232,265,101,213
234,263,86,206
237,258,71,204
236,257,68,204
234,253,69,205
233,251,66,199
229,246,70,195
225,243,84,198
226,239,94,201
225,235,82,198
225,235,82,198
231,227,59,197
228,226,56,190
222,222,62,187
218,215,64,193
216,215,76,192
215,214,83,192
216,208,74,186
216,204,65,188
215,201,56,188
210,200,55,187
210,197,54,184
209,193,51,180
203,192,82,181
203,191,82,179
204,188,64,177
203,182,56,176
201,183,52,182
199,225,53,182
194,256,59,186
187,293,71,186
195,313,82,166
195,310,79,167
196,306,69,168
198,305,53,167
199,303,51,169
211,302,51,166
195,297,54,162
196,293,54,166
193,294,70,166
192,288,61,166
194,286,51,158
197,284,45,159
194,283,45,160
189,282,47,155
185,278,52,159
186,278,60,156
188,273,52,158
186,272,45,153
180,267,57,141
177,267,55,152
173,267,53,151
169,264,56,149
166,260,56,154
166,260,68,155
165,258,69,151
162,255,53,146
157,254,57,145
152,252,57,145
175,250,57,143
207,243,56,147
225,242,59,148
254,241,59,147
284,236,51,143
311,237,49,140
317,233,50,141
311,233,55,139
308,231,60,137
308,227,47,141
297,226,57,141
295,226,63,140
289,225,45,133
280,222,51,134
272,220,54,139
260,220,60,135
259,218,50,134
252,216,41,137
244,214,44,135
235,214,48,137
227,212,46,134
216,209,46,136
205,209,56,132
199,208,53,133
197,207,47,132
188,204,52,133
186,206,52,134
187,207,52,130
178,203,48,130
173,203,50,129
165,201,56,127
161,203,49,120
153,198,48,122
177,197,56,124
209,193,55,116
234,192,44,114
264,191,47,119
289,190,48,114
320,190,47,122
346,195,44,110
373,189,45,94
402,182,37,89
428,169,36,77
428,167,39,93
416,169,41,87
413,168,34,90
401,167,34,88
394,167,35,97
381,169,37,103
377,168,34,100
363,167,38,98
356,167,32,101
344,167,37,102
332,170,39,93
327,165,36,98
317,165,34,98
302,163,38,98
293,166,39,101
282,163,37,97
276,161,34,89
265,161,34,94
256,163,35,89
249,161,34,87
237,164,39,83
225,160,36,87
214,160,38,93
203,158,37,92
190,158,41,93
185,159,35,98
175,157,40,97
162,157,39,102
155,159,41,103
139,161,43,105
142,154,39,98
167,152,36,89
177,156,40,87
214,151,39,84
231,151,40,77
263,147,34,75
285,147,39,84
312,140,37,91
334,134,38,94
359,138,41,87
382,140,39,82
379,145,41,93
375,142,37,101
364,144,39,104
351,143,43,106
342,141,40,100
332,139,39,104
322,141,45,98
313,143,44,98
297,142,43,97
290,140,38,104
279,141,38,105
269,141,36,108
260,139,35,104
245,144,40,99
229,137,37,109
219,135,38,108
211,137,37,103
200,145,46,102
188,144,36,103
180,134,39,112
170,135,41,111
160,135,54,110
151,134,51,109
149,134,31,106
133,131,45,110
127,134,37,100
107,130,40,101
104,130,37,109
93,130,39,100
76,130,37,102
70,127,33,103
63,129,34,95
76,126,35,108
99,128,33,94
120,121,38,102
155,124,35,99
187,130,30,96
209,129,38,94
214,118,31,97
210,119,35,98
202,119,37,90
202,120,37,96
199,117,35,97
198,114,33,98
194,117,33,94
194,111,35,96
188,108,39,99
187,105,40,107
184,108,43,102
180,106,41,95
175,101,37,95
173,98,38,100
