23,253,84,83
44,252,88,80
65,249,88,82
85,247,94,82
100,244,95,83
122,247,98,78
148,243,95,82
168,241,100,82
186,241,96,81
193,239,96,81
199,239,96,77
203,229,100,84
211,225,99,87
219,226,97,87
227,225,95,88
235,221,96,87
240,219,92,88
250,219,100,87
256,218,102,74
268,213,105,75
276,214,111,76
290,213,103,85
295,212,106,77
312,210,99,80
318,214,106,73
332,210,100,77
337,218,109,70
350,221,106,64
361,217,99,64
378,216,94,68
392,210,101,67
408,199,85,84
426,199,85,84
435,196,85,84
446,192,85,84
461,195,85,84
481,190,85,84
491,193,85,84
505,183,85,84
518,188,85,84
533,185,85,84
